assessor_llm,assessor_char_id,assessor_char_name,target_llm,target_char_id,target_char_name,round_label,gt_E,gt_N,gt_C,gt_A,gt_O,inf_E,inf_N,inf_C,inf_A,inf_O,err_E,err_N,err_C,err_A,err_O,MAE,num_turns,timestamp
chatgpt,1156305,Caine,grok,1103142,Todd Landgraab,swapped,50.0,25.0,50.0,0.0,0.0,70.0,35.0,80.0,20.0,75.0,20.0,10.0,30.0,20.0,75.0,31.0,10,2026-02-08T18:42:03.029984
grok,1103142,Todd Landgraab,chatgpt,1156305,Caine,swapped,100.0,50.0,50.0,75.0,100.0,70.0,60.0,75.0,30.0,65.0,30.0,10.0,25.0,45.0,35.0,29.0,10,2026-02-08T18:42:06.699245
claude,1103142,Todd Landgraab,deepseek,1156305,Caine,original,100.0,50.0,50.0,75.0,100.0,75.0,35.0,80.0,25.0,40.0,25.0,15.0,30.0,50.0,60.0,36.0,10,2026-02-08T18:45:12.404659
deepseek,1156305,Caine,claude,1103142,Todd Landgraab,original,50.0,25.0,50.0,0.0,0.0,70.0,30.0,85.0,25.0,45.0,20.0,5.0,35.0,25.0,45.0,26.0,10,2026-02-08T18:45:17.204124
claude,1156305,Caine,deepseek,1103142,Todd Landgraab,swapped,50.0,25.0,50.0,0.0,0.0,25.0,15.0,92.0,20.0,15.0,25.0,10.0,42.0,20.0,15.0,22.4,10,2026-02-08T18:48:17.584365
deepseek,1103142,Todd Landgraab,claude,1156305,Caine,swapped,100.0,50.0,50.0,75.0,100.0,20.0,10.0,95.0,15.0,25.0,80.0,40.0,45.0,60.0,75.0,60.0,10,2026-02-08T18:48:23.768411
claude,1103142,Todd Landgraab,grok,1156305,Caine,original,100.0,50.0,50.0,75.0,100.0,25.0,65.0,75.0,30.0,40.0,75.0,15.0,25.0,45.0,60.0,44.0,10,2026-02-08T18:52:40.865915
grok,1156305,Caine,claude,1103142,Todd Landgraab,original,50.0,25.0,50.0,0.0,0.0,95.0,60.0,15.0,40.0,90.0,45.0,35.0,35.0,40.0,90.0,49.0,10,2026-02-08T18:52:46.441611
claude,1156305,Caine,grok,1103142,Todd Landgraab,swapped,50.0,25.0,50.0,0.0,0.0,65.0,35.0,75.0,25.0,40.0,15.0,10.0,25.0,25.0,40.0,23.0,10,2026-02-08T18:56:21.770465
grok,1103142,Todd Landgraab,claude,1156305,Caine,swapped,100.0,50.0,50.0,75.0,100.0,40.0,30.0,70.0,35.0,60.0,60.0,20.0,20.0,40.0,40.0,36.0,10,2026-02-08T18:56:26.007116
deepseek,1103142,Todd Landgraab,grok,1156305,Caine,original,100.0,50.0,50.0,75.0,100.0,98.0,15.0,85.0,75.0,100.0,2.0,35.0,35.0,0.0,0.0,14.4,10,2026-02-08T18:58:11.981358
grok,1156305,Caine,deepseek,1103142,Todd Landgraab,original,50.0,25.0,50.0,0.0,0.0,30.0,20.0,85.0,25.0,60.0,20.0,5.0,35.0,25.0,60.0,29.0,10,2026-02-08T18:58:16.533315
deepseek,1156305,Caine,grok,1103142,Todd Landgraab,swapped,50.0,25.0,50.0,0.0,0.0,75.0,20.0,65.0,35.0,60.0,25.0,5.0,15.0,35.0,60.0,28.0,10,2026-02-08T18:59:51.058442
grok,1103142,Todd Landgraab,deepseek,1156305,Caine,swapped,100.0,50.0,50.0,75.0,100.0,95.0,30.0,10.0,70.0,98.0,5.0,20.0,40.0,5.0,2.0,14.4,10,2026-02-08T18:59:55.084497
